code,npi_number,payer,price,name,url,street_address,city,state,zip_code,publish_date
84206,1003281452,Aetna,173.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Amerigroup,24.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Blue Cross,158.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,CASH,908.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Cigna,391.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Coalition,271.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,First Health,625.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Multiplan,662.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Sierra,179.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,St Mary HlthFst,129.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,Teachers Trust,139.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003281452,UHC,255.0,Henderson Hospital,https://uhsfilecdn.eskycity.net/ac/henderson-hospital_standard-charges.csv,1050 West Galleria Drive,Henderson,NV,89011,2021-01-01
84206,1003362997,CASH,77.0,CHI Health St. Elizabeth,https://www.chihealth.com/content/dam/chi-health/website/documents/cost-estimates/Charges_CSVreport_11_Jan_2021_St.Elizabeth.csv,555 S. 70Th St.,Lincoln,NE,68510,2021-01-01
84206,1003811290,AARP,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,ADVANTRA FREEDOM,26.69,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,ADVICARE MCARE,29.36,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AETNA CARELINK,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AETNA HMO,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AETNA MEDICARE,26.69,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AETNA PPO,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AG ADMINISTRATORS SPORTS INS,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AMERICAN POSTAL WORKER,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AMERICAN REPUBLIC,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,AMERICAS 1ST CHOICE HEALTH PL,27.49,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,ANTHEM HEALTH,51.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,APNEX MEDICAL/CLINICAL RESEARC,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,ASI TRICARE SUPPLEMENT,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
84206,1003811290,ASSURANT HEALTH,76.22,Providence Health,http://www.yourprovidencehealth.com/Content/Uploads/Providence Hospitals/files/352546435_Providence_Health_Standard_Charges_12202020.zip,2435 Forest Drive,Columbia,SC,29204,
